age,sex,embarked,deck
,male,S,C
23.0,male,S,E
12.0,male,S,B
17.0,male,Q,D
10.0,male,C,B
26.0,female,nan,B
30.0,female,nan,C
21.0,female,C,nan
77.0,male,S,nan
8.0,female,Q,E
17.0,female,Q,nan
2.0,male,C,A
65.0,male,Q,D
73.0,male,C,A
6.0,female,Q,E
51.0,female,C,C
12.0,male,Q,D
8.0,female,S,nan
73.0,female,S,B
10.0,female,Q,B
10.0,male,Q,E
12.0,female,S,E
72.0,female,C,A
7.0,female,Q,C
64.0,female,S,B
15.0,male,Q,D
19.0,female,nan,A
26.0,male,S,B
30.0,male,nan,A
2.0,female,C,nan
29.0,male,S,C
21.0,female,S,C
,male,nan,E
10.0,female,nan,D
8.0,female,Q,C
21.0,male,nan,C
13.0,female,S,C
14.0,female,nan,A
65.0,male,Q,nan
64.0,female,nan,C
8.0,female,C,A
17.0,female,Q,E
69.0,male,S,nan
2.0,female,nan,B
73.0,male,S,nan
65.0,female,S,A
2.0,male,S,C
14.0,female,Q,D
58.0,female,Q,A
10.0,female,nan,E
62.0,female,nan,D
76.0,female,S,D
8.0,female,Q,D
30.0,male,C,A
6.0,male,nan,D
17.0,female,C,B
,female,C,C
13.0,male,S,A
77.0,male,C,B
14.0,male,Q,E
21.0,female,C,C
21.0,female,Q,D
14.0,male,Q,E
8.0,male,C,nan
65.0,male,S,E
30.0,male,C,C
23.0,male,Q,B
77.0,female,nan,C
2.0,female,Q,nan
51.0,female,S,A
,female,S,nan
10.0,female,S,D
14.0,female,nan,nan
14.0,female,Q,D
38.0,male,S,C
12.0,male,nan,A
26.0,female,nan,A
73.0,male,nan,A
,male,C,A
10.0,male,nan,C
58.0,female,S,E
26.0,male,Q,A
6.0,female,Q,E
15.0,male,nan,B
51.0,female,S,C
6.0,male,C,B
13.0,male,C,C
7.0,male,Q,E
62.0,male,C,B
51.0,female,nan,D
72.0,female,Q,nan
65.0,male,S,B
26.0,male,C,nan
17.0,male,C,B
72.0,female,S,C
7.0,male,C,E
72.0,female,nan,B
15.0,female,nan,A
2.0,male,C,C
10.0,male,Q,nan
65.0,female,nan,B
65.0,male,Q,C
26.0,female,S,A
10.0,male,Q,A
8.0,male,S,nan
19.0,male,Q,D
23.0,female,nan,E
29.0,male,S,B
,female,Q,nan
26.0,male,Q,A
77.0,female,S,E
14.0,female,nan,A
23.0,female,Q,D
12.0,male,S,C
65.0,female,nan,E
8.0,male,Q,D
10.0,female,nan,C
77.0,female,nan,E
23.0,female,S,C
15.0,female,C,E
,male,Q,A
7.0,male,C,A
38.0,female,S,nan
2.0,male,nan,E
23.0,male,Q,C
2.0,male,Q,C
10.0,male,Q,E
29.0,female,S,C
30.0,female,C,D
38.0,male,Q,nan
13.0,female,nan,A
7.0,female,C,A
23.0,male,C,E
65.0,male,C,D
13.0,female,C,E
77.0,female,S,D
69.0,female,C,D
,female,Q,E
2.0,female,C,A
29.0,female,S,nan
69.0,female,S,D
6.0,male,Q,nan
13.0,male,Q,B
65.0,male,nan,E
65.0,male,C,E
19.0,male,S,D
69.0,male,S,C
21.0,male,S,C
76.0,female,Q,C
12.0,male,nan,C
