Student_ID,Study_Hours,Attendance,Assignment_Score,Exam_Score
STU001,9.5,95,92,32
STU002,9.6,68,70.2,88.2
STU003,7.9,80.6,81.8,83.1
STU004,6.8,83.7,82.6,77.5
STU005,3.2,61.9,62.1,44
STU006,3.2,88.3,73.4,56.1
STU007,2.4,98.6,85.1,58.3
STU008,8.9,76.6,65.1,84.1
STU009,6.8,70.7,59.3,64.4
STU010,7.7,71.2,56,75.2
STU011,2.2,95.4,70.3,55.9
STU012,9.7,84.6,85.6,94.1
STU013,8.7,63.1,65.7,80
STU014,3.7,69.5,58.2,52.4
STU015,3.5,76.8,77.5,58.8
STU016,3.5,70.6,56.8,55.4
STU017,4.4,72.4,75,63.3
STU018,6.2,87,80.2,74.7
STU019,5.5,90.2,77.5,72
STU020,5.1,72.9,64.2,68.4
STU021,7,84.3,80.5,79.9
STU022,3.1,91.8,73.4,59
STU023,5,91.5,86.9,70.3
STU024,5.7,74.3,73.8,70.3
STU025,3.3,75.3,68.7,59.1
